# Wall heat-flux 
# Time           	patch            	min              	max              	integral         
1.0000000000e+00	disk_to_default	-6.3674989439e+01	6.9889219527e+03	8.2440769157e+02
1.0000000000e+00	disk_to_pad2	-6.6914414771e+04	-5.4218731690e+04	-8.6590671327e+02
1.0000000000e+00	disk_to_pad1	-6.6083898639e+04	-5.3289854163e+04	-8.5419021327e+02
2.0000000000e+00	disk_to_default	-1.5522950194e+02	9.6163432738e+03	1.2667558856e+03
2.0000000000e+00	disk_to_pad2	-1.2585903430e+05	-9.6075581897e+04	-1.6257462645e+03
2.0000000000e+00	disk_to_pad1	-1.2570112639e+05	-9.9274179385e+04	-1.6378545914e+03
3.0000000000e+00	disk_to_default	-1.5627678967e+03	1.2125678151e+04	1.5505409858e+03
3.0000000000e+00	disk_to_pad2	-9.1740767282e+04	-7.0323666942e+04	-1.1903123697e+03
3.0000000000e+00	disk_to_pad1	-9.2516716197e+04	-7.2795999453e+04	-1.2054327126e+03
4.0000000000e+00	disk_to_default	-3.6482759233e+03	1.4590507360e+04	1.7953579932e+03
4.0000000000e+00	disk_to_pad2	-8.5815496842e+04	-6.5456925117e+04	-1.1148223047e+03
4.0000000000e+00	disk_to_pad1	-8.6764565162e+04	-6.8107889661e+04	-1.1307450398e+03
5.0000000000e+00	disk_to_default	-6.1769022389e+03	1.6979803148e+04	1.9477673195e+03
5.0000000000e+00	disk_to_pad2	-8.4608006122e+04	-6.4197966392e+04	-1.0985245277e+03
5.0000000000e+00	disk_to_pad1	-8.5403669090e+04	-6.6149009695e+04	-1.1107941295e+03
6.0000000000e+00	disk_to_default	-8.2016720693e+03	1.8682579230e+04	2.0328877426e+03
6.0000000000e+00	disk_to_pad2	-8.3857062904e+04	-6.3609468861e+04	-1.0886920353e+03
6.0000000000e+00	disk_to_pad1	-8.4653911661e+04	-6.4247670693e+04	-1.0960308503e+03
7.0000000000e+00	disk_to_default	-9.4143941400e+03	2.0900848808e+04	2.0755700245e+03
7.0000000000e+00	disk_to_pad2	-8.3360489305e+04	-6.3798437112e+04	-1.0834341099e+03
7.0000000000e+00	disk_to_pad1	-8.4289160427e+04	-6.2487712008e+04	-1.0840894769e+03
8.0000000000e+00	disk_to_default	-1.0031693445e+04	2.1942013434e+04	2.0929541802e+03
8.0000000000e+00	disk_to_pad2	-8.3091904664e+04	-6.3960826597e+04	-1.0791970262e+03
8.0000000000e+00	disk_to_pad1	-8.4115314380e+04	-6.0803918151e+04	-1.0740986433e+03
9.0000000000e+00	disk_to_default	-1.0228206685e+04	2.2095478570e+04	2.0984696116e+03
9.0000000000e+00	disk_to_pad2	-8.3063384616e+04	-6.3648421889e+04	-1.0766246290e+03
9.0000000000e+00	disk_to_pad1	-8.4047585741e+04	-5.8345028212e+04	-1.0657676673e+03
1.0000000000e+01	disk_to_default	-1.0878097014e+04	2.1638812921e+04	2.0875365150e+03
1.0000000000e+01	disk_to_pad2	-8.3139565577e+04	-6.3813140958e+04	-1.0770676482e+03
1.0000000000e+01	disk_to_pad1	-8.4110207311e+04	-5.6086804527e+04	-1.0591568792e+03
1.1000000000e+01	disk_to_default	-1.0399345157e+04	2.1049844094e+04	2.0792443224e+03
1.1000000000e+01	disk_to_pad2	-8.3204112777e+04	-6.4079094879e+04	-1.0780400256e+03
1.1000000000e+01	disk_to_pad1	-8.4129955083e+04	-5.4046916906e+04	-1.0526379406e+03
1.2000000000e+01	disk_to_default	-9.1611941950e+03	2.0602952569e+04	2.0731500471e+03
1.2000000000e+01	disk_to_pad2	-8.3207489156e+04	-6.4358758633e+04	-1.0795428306e+03
1.2000000000e+01	disk_to_pad1	-8.4083919365e+04	-5.2208450800e+04	-1.0460111294e+03
1.3000000000e+01	disk_to_default	-9.0724555198e+03	2.0409243228e+04	2.0682506379e+03
1.3000000000e+01	disk_to_pad2	-8.3198813155e+04	-6.4639649272e+04	-1.0809887664e+03
