# Time                 	totalLift              	frontLift              	rearLift               	drag                   	side                   	Xmoment                	Ymoment                	Zmoment                
0.0001	-2.4357161859418656e-02	-2.3792247917460863e-02	-5.6491394195779324e-04	1.6463530618718272e-02	-3.8501818308122889e-07	3.4897232800493630e-07	-1.1613666987751535e-02	-2.3541646635610027e-07
0.0002	4.8366680667505865e-02	5.8489235362644311e-02	-1.0122554695138446e-02	3.1982914410306831e-02	-4.2747855922617371e-07	-4.8373779042328067e-07	3.4305895028891378e-02	1.0687948475667026e-07
0.0003	2.2179375273228438e-01	2.6210656441571611e-01	-4.0312811683431718e-02	3.0256578941045253e-01	-6.1229531333220914e-04	1.3307367244499876e-04	1.5120968804957391e-01	2.9964126110236267e-04
0.0004	2.0080943350508909e-01	2.4342774356188362e-01	-4.2618310056794520e-02	2.7309026304157302e-01	-7.6200969941227849e-05	2.4273310617239564e-05	1.4302302680933907e-01	6.4499876372007468e-05
0.0005	2.0083500232650817e-01	2.4119351966947400e-01	-4.0358517342965819e-02	2.6449715408776697e-01	-2.3129862989563943e-05	1.1521105341444621e-05	1.4077601850621990e-01	4.6832288464310993e-05
0.0006	2.0672028134271675e-01	2.4604315903203713e-01	-3.9322877689320385e-02	2.7170549352354434e-01	-3.1106658103644141e-05	1.5152385553944462e-05	1.4268301836067876e-01	5.7703290069659345e-05
0.0007	2.1192199456420682e-01	2.5036797612892842e-01	-3.8445981564721579e-02	2.7856730140705122e-01	-4.1813835529828607e-05	1.4238336777485656e-05	1.4440697884682499e-01	5.1255734290229454e-05
0.0008	2.2201357883439055e-01	2.5808928838867412e-01	-3.6075709554283575e-02	2.8483835685818143e-01	2.8154023008827498e-05	6.5453727131808526e-07	1.4708249897147885e-01	2.8161920427634443e-05
0.0009	2.2489964991361655e-01	2.6000593367703495e-01	-3.5106283763418372e-02	2.8959161043436732e-01	3.6480785960031605e-05	-1.6604622934670571e-06	1.4755610872022665e-01	2.5965971551346850e-05
0.001	2.3345757678474885e-01	2.6614958274315947e-01	-3.2692005958410611e-02	2.9594722980044319e-01	1.0352654702514796e-04	-1.0636519883917389e-05	1.4942079435078504e-01	-1.7120952193145694e-06
