# Region type :  patch inlet
# Faces          : 200
# Area           : 2.8000000000e+02
# Scale factor   : 1.0000000000e+00
# Time           	sum(phi)
0.0234192        	0.0000000000e+00
0.0515222        	-5.0000000000e+04
0.0852459        	-5.0000000000e+04
0.125714         	-5.0000000000e+04
0.174356         	-5.0000000000e+04
0.232842         	-5.0000000000e+04
0.303109         	-5.0000000000e+04
0.38743          	-5.0000000000e+04
0.488615         	-5.0000000000e+04
0.610556         	-5.0000000000e+04
0.757266         	-5.0000000000e+04
0.931657         	-5.0000000000e+04
1.14255          	-5.0000000000e+04
1.39562          	-5.0000000000e+04
1.70292          	-5.0000000000e+04
2.06366          	-5.0000000000e+04
2.48136          	-5.0000000000e+04
2.95128          	-5.0000000000e+04
3.49349          	-5.0000000000e+04
4.14414          	-5.0000000000e+04
4.876121         	-5.0000000000e+04
